...
| rollout/                |              |
|    loss                 | -0.261       |
|    n_updates            | 19660        |
|    policy_gradient_loss | -0.0013      |
|    std                  | 43.6         |
|    value_loss           | 1.21e-06     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1968          |
|    time_elapsed         | 50592         |
|    total_timesteps      | 2833920       |
| train/                  |               |
|    approx_kl            | 0.00080330647 |
|    clip_fraction        | 0.000278      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.2          |
|    explained_variance   | 0.069         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.262        |
|    n_updates            | 19670         |
|    policy_gradient_loss | -0.00149      |
|    std                  | 43.8          |
|    value_loss           | 8.25e-07      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1968          |
|    time_elapsed         | 50592         |
|    total_timesteps      | 2833920       |
| train/                  |               |
|    approx_kl            | 0.00080330647 |
|    clip_fraction        | 0.000278      |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.2          |
|    explained_variance   | 0.069         |
|    learning_rate        | 0.0001        |
|    loss                 | -0.262        |
|    n_updates            | 19670         |
|    policy_gradient_loss | -0.00149      |
|    std                  | 43.8          |
|    value_loss           | 8.25e-07      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1969          |
|    time_elapsed         | 50592         |
|    total_timesteps      | 2835360       |
| train/                  |               |
|    approx_kl            | 0.00010696761 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.2          |
|    explained_variance   | 0.0137        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.261        |
|    n_updates            | 19680         |
|    policy_gradient_loss | -0.000208     |
|    std                  | 43.9          |
|    value_loss           | 1.32e-06      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1.69e+06      |
|    ep_rew_mean          | -1.08         |
| time/                   |               |
|    fps                  | 56            |
|    iterations           | 1969          |
|    time_elapsed         | 50592         |
|    total_timesteps      | 2835360       |
| train/                  |               |
|    approx_kl            | 0.00010696761 |
|    clip_fraction        | 0             |
|    clip_range           | 0.25          |
|    entropy_loss         | -5.2          |
|    explained_variance   | 0.0137        |
|    learning_rate        | 0.0001        |
|    loss                 | -0.261        |
|    n_updates            | 19680         |
|    policy_gradient_loss | -0.000208     |
|    std                  | 43.9          |
|    value_loss           | 1.32e-06      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1970         |
|    time_elapsed         | 50592        |
|    total_timesteps      | 2836800      |
| train/                  |              |
|    approx_kl            | 0.0007854829 |
|    clip_fraction        | 0.000972     |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.2         |
